Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
101__M_Left_middle_finger.BMP,0.35,M1 CLAHE + Unsharp,0.0809919183797437,10.915583141853718,0.5187458060603757,0.7234940528869629,6.333333333333333,0.0068564999992304365,101,25
101__M_Left_middle_finger.BMP,0.35,M1 Wiener + CLAHE + Unsharp,0.03788355926764511,14.215492245557531,0.6637329205423541,0.820096492767334,3.3333333333333335,0.009567299999616807,101,25
101__M_Left_middle_finger.BMP,0.35,Gabor,0.06845733569546489,11.645800072617405,0.48551381772577873,0.7766071557998657,3.0,0.4861577000001489,101,25
101__M_Left_middle_finger.BMP,0.35,Hybrid,0.036601882749238424,14.36496574535238,0.6636967824955153,0.8172705173492432,7.333333333333333,0.4684202999997069,101,25
101__M_Left_ring_finger.BMP,0.55,Degraded input,0.03317685179006998,14.79164827325185,0.4682602212348413,0.6389328837394714,7.666666666666667,0.0,122,28
101__M_Left_ring_finger.BMP,0.55,Global HE,0.024002839508281845,16.197373787120107,0.5773233347745612,0.7159593105316162,13.0,0.006417200000214507,122,28
101__M_Left_ring_finger.BMP,0.55,M1 CLAHE,0.09150221401629947,10.385683974807778,0.4787682251912887,0.6278712153434753,3.3333333333333335,0.0063655000003564055,122,28
101__M_Left_ring_finger.BMP,0.55,M1 Median + CLAHE,0.06890167976827463,11.617701902084846,0.5197432698565752,0.6830000281333923,3.6666666666666665,0.009501900000032037,122,28
101__M_Left_ring_finger.BMP,0.55,M1 Wiener + CLAHE,0.04595286859120987,13.37687372755612,0.5434232682174885,0.7177280783653259,3.0,0.008522000000084518,122,28
101__M_Left_ring_finger.BMP,0.55,M1 CLAHE + Unsharp,0.09803266637540678,10.086291848926251,0.44463314996502057,0.5746614336967468,1.3333333333333333,0.007019599999694037,122,28
101__M_Left_ring_finger.BMP,0.55,M1 Wiener + CLAHE + Unsharp,0.04364557513121716,13.600597793010182,0.5513102512162417,0.7038739919662476,2.3333333333333335,0.009516699999949196,122,28
101__M_Left_ring_finger.BMP,0.55,Gabor,0.07078020579882659,11.500881789524621,0.4014056990963798,0.6315008401870728,1.6666666666666667,0.4824508000001515,122,28
101__M_Left_ring_finger.BMP,0.55,Hybrid,0.0416378392034704,13.805118162978756,0.5447963960487459,0.7025963664054871,3.0,0.47605880000082834,122,28
101__M_Left_thumb_finger.BMP,0.75,Degraded input,0.05030515913200471,12.983874728434019,0.38697803301858463,0.5152073502540588,4.666666666666667,0.0,109,39
101__M_Left_thumb_finger.BMP,0.75,Global HE,0.028486576703845166,15.453597377720204,0.6046690432143254,0.6631722450256348,7.333333333333333,0.006407699999726901,109,39
101__M_Left_thumb_finger.BMP,0.75,M1 CLAHE,0.08625979654189751,10.641915705447555,0.5078407333516637,0.5359721779823303,2.0,0.005820399999720394,109,39
101__M_Left_thumb_finger.BMP,0.75,M1 Median + CLAHE,0.06875974756779775,11.626657263729104,0.5974487267759968,0.6604031324386597,1.6666666666666667,0.008731599999919126,109,39
101__M_Left_thumb_finger.BMP,0.75,M1 Wiener + CLAHE,0.05366302489923562,12.703248504859184,0.6318305413290751,0.727670431137085,5.666666666666667,0.008715799999663432,109,39
101__M_Left_thumb_finger.BMP,0.75,M1 CLAHE + Unsharp,0.09919852416973564,10.034947890323924,0.43706483696614234,0.44613954424858093,1.0,0.006974199999604025,109,39
101__M_Left_thumb_finger.BMP,0.75,M1 Wiener + CLAHE + Unsharp,0.05197792967438317,12.841810228130262,0.6310136268588644,0.712190568447113,4.0,0.010466099999575817,109,39
101__M_Left_thumb_finger.BMP,0.75,Gabor,0.09694313027077653,10.134829611206191,0.38605349266980676,0.5457196831703186,3.0,0.48161720000007335,109,39
101__M_Left_thumb_finger.BMP,0.75,Hybrid,0.05586076896053817,12.528930902422468,0.5898971108772156,0.7098715901374817,4.0,0.4758017000003747,109,39
101__M_Right_index_finger.BMP,0.35,Degraded input,0.01171742032113527,19.311679910152563,0.6614376664790504,0.7373018264770508,46.0,0.0,101,23
101__M_Right_index_finger.BMP,0.35,Global HE,0.01881059670375395,17.255974276799577,0.6075618578841631,0.7678461670875549,25.666666666666668,0.00549940000018978,101,23
101__M_Right_index_finger.BMP,0.35,M1 CLAHE,0.09852285123214516,10.064630282532613,0.46524553201865626,0.706628143787384,4.0,0.005639599999994971,101,23
101__M_Right_index_finger.BMP,0.35,M1 Median + CLAHE,0.07129200637153338,11.469591627617728,0.5057771170744798,0.7517819404602051,3.3333333333333335,0.008132900000418886,101,23
101__M_Right_index_finger.BMP,0.35,M1 Wiener + CLAHE,0.05079919073788493,12.941432062371526,0.5932942542069268,0.7954208254814148,5.333333333333333,0.008414300000367803,101,23
101__M_Right_index_finger.BMP,0.35,M1 CLAHE + Unsharp,0.09082651177204609,10.417873647419508,0.45194630689017046,0.6646950840950012,4.666666666666667,0.006261000000449712,101,23
101__M_Right_index_finger.BMP,0.35,M1 Wiener + CLAHE + Unsharp,0.04746602435132327,13.23617142298671,0.5985226500793039,0.7857149243354797,6.333333333333333,0.008949400000346941,101,23
101__M_Right_index_finger.BMP,0.35,Gabor,0.0636945045507101,11.95898036208714,0.48564514158099387,0.7251216769218445,5.666666666666667,0.47784580000006827,101,23
101__M_Right_index_finger.BMP,0.35,Hybrid,0.03792606760760832,14.210621851076873,0.6264857206184313,0.7832586169242859,9.0,0.4794627999999648,101,23
101__M_Right_little_finger.BMP,0.55,Degraded input,0.03111008411515054,15.070988146484057,0.4790093485556735,0.6314757466316223,11.0,0.0,106,26
101__M_Right_little_finger.BMP,0.55,Global HE,0.02702197570069182,15.682829008898537,0.5585920301148184,0.7206099033355713,10.666666666666666,0.006061000000045169,106,26
101__M_Right_little_finger.BMP,0.55,M1 CLAHE,0.10158117770048859,9.931867564034773,0.4433790197287779,0.6099244952201843,3.3333333333333335,0.006154000000606175,106,26
101__M_Right_little_finger.BMP,0.55,M1 Median + CLAHE,0.07497298241053023,11.250952126609782,0.4844762060986713,0.67779141664505,4.666666666666667,0.00909490000049118,106,26
101__M_Right_little_finger.BMP,0.55,M1 Wiener + CLAHE,0.04712140345184847,13.267817831123692,0.5379548620586011,0.7446025013923645,3.0,0.009668900000178837,106,26
101__M_Right_little_finger.BMP,0.55,M1 CLAHE + Unsharp,0.10593288295966642,9.749692082474281,0.4114735620168771,0.5463787317276001,2.6666666666666665,0.006888800000524498,106,26
101__M_Right_little_finger.BMP,0.55,M1 Wiener + CLAHE + Unsharp,0.04636835176635416,13.337783414882708,0.5378878135654236,0.7295063138008118,2.6666666666666665,0.010467600000993116,106,26
101__M_Right_little_finger.BMP,0.55,Gabor,0.060938273903628076,12.151098514711771,0.406188175862681,0.6301510334014893,2.6666666666666665,0.47882099999878847,106,26
