Combination ID,Image,Quality band,Severity,Stage order,Stage,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs previous stage (dB),Delta SSIM vs previous stage,Delta coherence vs previous stage
R1->G7,516__M_Right_little_finger.BMP,Lower quality,0.75,3,M2 Coherence-guided directional diffusion,0.04260799750951629,13.705088762901172,0.34039923330935035,0.36380282044410706,0.3261037000338547,0.0017523805344215049,0.004594767084021734,0.02310451865196228
R1->G7,516__M_Right_little_finger.BMP,Lower quality,0.75,4,Team Final Output,0.04260799750951629,13.705088762901172,0.34039923330935035,0.36380282044410706,0.3281935999984853,0.0,0.0,0.0
R1->G7,455__M_Left_little_finger.BMP,Lower quality,0.35,0,Degraded,0.011603674548016493,19.354044604952506,0.6664696059230519,0.5289819240570068,0.0,,,
R1->G7,455__M_Left_little_finger.BMP,Lower quality,0.35,1,Common Preprocessing P0,0.011603674548016493,19.354044604952506,0.6664696059230519,0.5289819240570068,0.0,0.0,0.0,0.0
R1->G7,455__M_Left_little_finger.BMP,Lower quality,0.35,2,M1 Wiener deconvolution,0.010929662690315594,19.613932409775718,0.6970263302313555,0.5462804436683655,0.002141200006008148,0.2598878048232116,0.030556724308303584,0.017298519611358643
R1->G7,455__M_Left_little_finger.BMP,Lower quality,0.35,3,M2 Coherence-guided directional diffusion,0.01150852860841221,19.38980198359388,0.6902625975047247,0.5644075870513916,0.325798699981533,-0.2241304261818371,-0.006763732726630778,0.018127143383026123
R1->G7,455__M_Left_little_finger.BMP,Lower quality,0.35,4,Team Final Output,0.01150852860841221,19.38980198359388,0.6902625975047247,0.5644075870513916,0.32793989998754114,0.0,0.0,0.0
R1->G7,466__F_Left_little_finger.BMP,Lower quality,0.55,0,Degraded,0.03090636792412731,15.09952029656597,0.44553192054988794,0.43197768926620483,0.0,,,
R1->G7,466__F_Left_little_finger.BMP,Lower quality,0.55,1,Common Preprocessing P0,0.03090636792412731,15.09952029656597,0.44553192054988794,0.43197768926620483,0.0,0.0,0.0,0.0
R1->G7,466__F_Left_little_finger.BMP,Lower quality,0.55,2,M1 Wiener deconvolution,0.02933308461692284,15.326422649543543,0.48600170712031193,0.46196550130844116,0.0021474999957717955,0.22690235297757333,0.04046978657042399,0.029987812042236328
R1->G7,466__F_Left_little_finger.BMP,Lower quality,0.55,3,M2 Coherence-guided directional diffusion,0.029833167253519255,15.253006370936133,0.4862782302371084,0.4897632598876953,0.34087040001759306,-0.07341627860741085,0.0002765231167964899,0.02779775857925415
R1->G7,466__F_Left_little_finger.BMP,Lower quality,0.55,4,Team Final Output,0.029833167253519255,15.253006370936133,0.4862782302371084,0.4897632598876953,0.34301790001336485,0.0,0.0,0.0
R1->G7,371__M_Right_index_finger.BMP,Lower quality,0.75,0,Degraded,0.052331200866164815,12.812392992071155,0.3671201100462844,0.36429160833358765,0.0,,,
R1->G7,371__M_Right_index_finger.BMP,Lower quality,0.75,1,Common Preprocessing P0,0.052331200866164815,12.812392992071155,0.3671201100462844,0.36429160833358765,0.0,0.0,0.0,0.0
R1->G7,371__M_Right_index_finger.BMP,Lower quality,0.75,2,M1 Wiener deconvolution,0.049783880315634826,13.029112561004348,0.40905482147338507,0.40475282073020935,0.0026437000487931073,0.21671956893319333,0.041934711427100646,0.040461212396621704
R1->G7,371__M_Right_index_finger.BMP,Lower quality,0.75,3,M2 Coherence-guided directional diffusion,0.04987428521039293,13.021233154937983,0.41183184114210414,0.4381667971611023,0.6498439000570215,-0.007879406066365391,0.002777019668719072,0.033413976430892944
R1->G7,371__M_Right_index_finger.BMP,Lower quality,0.75,4,Team Final Output,0.04987428521039293,13.021233154937983,0.41183184114210414,0.4381667971611023,0.6524876001058146,0.0,0.0,0.0
R1->G7->fusion,75__F_Left_middle_finger.BMP,Higher quality,0.35,0,Degraded,0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,0.0,,,
R1->G7->fusion,75__F_Left_middle_finger.BMP,Higher quality,0.35,1,Common Preprocessing P0,0.015114983280240843,18.205923288899456,0.7435694100628281,0.7118552923202515,0.0,0.0,0.0,0.0
R1->G7->fusion,75__F_Left_middle_finger.BMP,Higher quality,0.35,2,M1 Wiener deconvolution,0.013920737179669651,18.56337765832812,0.7661431879490186,0.7264577150344849,0.0024135999847203493,0.3574543694286625,0.022573777886190527,0.014602422714233398
R1->G7->fusion,75__F_Left_middle_finger.BMP,Higher quality,0.35,3,M2 Coherence-guided directional diffusion,0.017055934227924653,17.681244874016727,0.7213023198269531,0.7378036975860596,0.35364270000718534,-0.8821327843113913,-0.04484086812206545,0.011345982551574707
R1->G7->fusion,75__F_Left_middle_finger.BMP,Higher quality,0.35,4,Team Fusion,0.01430065678861854,18.446440161627294,0.7608496714507611,0.7279683351516724,0.3560562999919057,0.7651952876105668,0.03954735162380796,-0.009835362434387207
R1->G7->fusion,422__M_Left_index_finger.BMP,Higher quality,0.55,0,Degraded,0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,0.0,,,
R1->G7->fusion,422__M_Left_index_finger.BMP,Higher quality,0.55,1,Common Preprocessing P0,0.029822220553575703,15.254600222425044,0.5762982588451102,0.5745490789413452,0.0,0.0,0.0,0.0
R1->G7->fusion,422__M_Left_index_finger.BMP,Higher quality,0.55,2,M1 Wiener deconvolution,0.02762668593858207,15.586712093618107,0.6130640316541539,0.6048991680145264,0.002459099981933832,0.33211187119306373,0.036765772809043695,0.030350089073181152
